C:\Machine Learning\sendex\Data\IMG\center_2024_03_18_01_06_30_616.jpg, C:\Machine Learning\sendex\Data\IMG\left_2024_03_18_01_06_30_616.jpg, C:\Machine Learning\sendex\Data\IMG\right_2024_03_18_01_06_30_616.jpg, 0, 0, 0, 7.775339E-05
C:\Machine Learning\sendex\Data\IMG\center_2024_03_18_01_06_30_719.jpg, C:\Machine Learning\sendex\Data\IMG\left_2024_03_18_01_06_30_719.jpg, C:\Machine Learning\sendex\Data\IMG\right_2024_03_18_01_06_30_719.jpg, 0, 0, 0, 8.000462E-05
C:\Machine Learning\sendex\Data\IMG\center_2024_03_18_01_06_30_820.jpg, C:\Machine Learning\sendex\Data\IMG\left_2024_03_18_01_06_30_820.jpg, C:\Machine Learning\sendex\Data\IMG\right_2024_03_18_01_06_30_820.jpg, 0, 0, 0, 7.803534E-05
C:\Machine Learning\sendex\Data\IMG\center_2024_03_18_01_06_30_926.jpg, C:\Machine Learning\sendex\Data\IMG\left_2024_03_18_01_06_30_926.jpg, C:\Machine Learning\sendex\Data\IMG\right_2024_03_18_01_06_30_926.jpg, 0, 0, 0, 8.19667E-05
C:\Machine Learning\sendex\Data\IMG\center_2024_03_18_01_06_31_031.jpg, C:\Machine Learning\sendex\Data\IMG\left_2024_03_18_01_06_31_031.jpg, C:\Machine Learning\sendex\Data\IMG\right_2024_03_18_01_06_31_031.jpg, 0, 0, 0, 7.788216E-05
C:\Machine Learning\sendex\Data\IMG\center_2024_03_18_01_06_31_135.jpg, C:\Machine Learning\sendex\Data\IMG\left_2024_03_18_01_06_31_135.jpg, C:\Machine Learning\sendex\Data\IMG\right_2024_03_18_01_06_31_135.jpg, 0, 0, 0, 8.094445E-05
C:\Machine Learning\sendex\Data\IMG\center_2024_03_18_01_06_31_242.jpg, C:\Machine Learning\sendex\Data\IMG\left_2024_03_18_01_06_31_242.jpg, C:\Machine Learning\sendex\Data\IMG\right_2024_03_18_01_06_31_242.jpg, 0, 0, 0, 7.907553E-05
C:\Machine Learning\sendex\Data\IMG\center_2024_03_18_01_06_31_347.jpg, C:\Machine Learning\sendex\Data\IMG\left_2024_03_18_01_06_31_347.jpg, C:\Machine Learning\sendex\Data\IMG\right_2024_03_18_01_06_31_347.jpg, 0, 0, 0, 7.829688E-05
C:\Machine Learning\sendex\Data\IMG\center_2024_03_18_01_06_31_448.jpg, C:\Machine Learning\sendex\Data\IMG\left_2024_03_18_01_06_31_448.jpg, C:\Machine Learning\sendex\Data\IMG\right_2024_03_18_01_06_31_448.jpg, 0, 0, 0, 7.819201E-05
C:\Machine Learning\sendex\Data\IMG\center_2024_03_18_01_06_31_553.jpg, C:\Machine Learning\sendex\Data\IMG\left_2024_03_18_01_06_31_553.jpg, C:\Machine Learning\sendex\Data\IMG\right_2024_03_18_01_06_31_553.jpg, 0, 0, 0, 7.840169E-05
